train_ds,calib_ds,test_ds,alpha,empirical_coverage,avg_set_size,class_cond_gap,point_accuracy
blood,wdbc,eeg,0.05,0.9949933244325768,1.9863150867823764,0.011160714285714302,0.5433911882510013
blood,eeg,wdbc,0.05,0.8333333333333334,1.8245614035087718,0.45238095238095233,0.6228070175438597
wdbc,blood,eeg,0.05,0.9489319092122831,1.8998664886515353,0.03189315980629537,0.5146862483311081
wdbc,eeg,blood,0.05,0.9733333333333334,1.92,0.039751552795031064,0.6333333333333333
eeg,blood,wdbc,0.05,0.9824561403508771,1.956140350877193,0.04761904761904767,0.5964912280701754
eeg,wdbc,blood,0.05,0.8266666666666667,1.8133333333333332,0.22608695652173916,0.41333333333333333
