cp_method,empirical_coverage,avg_set_size,class_cond_gap,coverage_target
APS,0.9986666666666667,1.9675378165038766,0.005714285714285716,0.95
ClassConditional,0.9640744384325299,1.4006610763669298,0.022142004226565745,0.95
Mondrian,0.9640744384325299,1.4006610763669298,0.022142004226565745,0.95
Standard,0.957914365352634,1.2879632414369258,0.10313083151052936,0.95
