cp_method,LightGBM,LogReg,RandomForest,SVM_RBF,XGBoost
APS,2.0,1.9998887405429462,1.8378003419764364,2.0,2.0
ClassConditional,1.366229436519648,1.5237364439135221,1.3453897204069365,1.4343598872570835,1.333589893737459
Mondrian,1.366229436519648,1.5237364439135221,1.3453897204069365,1.4343598872570835,1.333589893737459
Standard,1.2307194778222816,1.3927680572146877,1.2411422637590863,1.3166133402040927,1.2585730681844798
