dataset,dataset_name,openml_id,model,cp_method,alpha,target_coverage,empirical_coverage,avg_set_size,set_size_variance,class_cond_coverage_gap,point_accuracy,brier_score,ece,per_class_efficiency
blood,Blood Transfusion,1464,LogReg,Standard,0.2,0.8,0.8,1.02,0.019599999999999992,0.8571428571428572,0.7866666666666666,0.30338241072147665,0.06404733422359768,"{0: 1.017391304347826, 1: 1.0285714285714285}"
blood,Blood Transfusion,1464,LogReg,Standard,0.15,0.85,0.82,1.0866666666666667,0.07915555555555558,0.7714285714285715,0.7866666666666666,0.30338241072147665,0.06404733422359768,"{0: 1.0695652173913044, 1: 1.1428571428571428}"
blood,Blood Transfusion,1464,LogReg,Standard,0.1,0.9,0.8733333333333333,1.2266666666666666,0.17528888888888886,0.5428571428571429,0.7866666666666666,0.30338241072147665,0.06404733422359768,"{0: 1.182608695652174, 1: 1.3714285714285714}"
blood,Blood Transfusion,1464,LogReg,Standard,0.05,0.95,0.94,1.38,0.23560000000000003,0.2571428571428571,0.7866666666666666,0.30338241072147665,0.06404733422359768,"{0: 1.2956521739130435, 1: 1.6571428571428573}"
blood,Blood Transfusion,1464,LogReg,Standard,0.01,0.99,0.98,1.8333333333333333,0.1388888888888889,0.08571428571428574,0.7866666666666666,0.30338241072147665,0.06404733422359768,"{0: 1.817391304347826, 1: 1.8857142857142857}"
blood,Blood Transfusion,1464,LogReg,ClassConditional,0.2,0.8,0.78,1.1066666666666667,0.09528888888888888,0.04844720496894406,0.7866666666666666,0.30338241072147665,0.06404733422359768,"{0: 1.0869565217391304, 1: 1.1714285714285715}"
blood,Blood Transfusion,1464,LogReg,ClassConditional,0.15,0.85,0.8866666666666667,1.5,0.25,0.001242236024844745,0.7866666666666666,0.30338241072147665,0.06404733422359768,"{0: 1.5043478260869565, 1: 1.4857142857142858}"
blood,Blood Transfusion,1464,LogReg,ClassConditional,0.1,0.9,0.9266666666666666,1.6533333333333333,0.22648888888888882,0.016149068322981353,0.7866666666666666,0.30338241072147665,0.06404733422359768,"{0: 1.6434782608695653, 1: 1.6857142857142857}"
blood,Blood Transfusion,1464,LogReg,ClassConditional,0.05,0.95,0.98,1.8133333333333332,0.15182222222222225,0.08571428571428574,0.7866666666666666,0.30338241072147665,0.06404733422359768,"{0: 1.817391304347826, 1: 1.8}"
blood,Blood Transfusion,1464,LogReg,ClassConditional,0.01,0.99,0.98,1.82,0.14759999999999995,0.08571428571428574,0.7866666666666666,0.30338241072147665,0.06404733422359768,"{0: 1.817391304347826, 1: 1.8285714285714285}"
blood,Blood Transfusion,1464,LogReg,Mondrian,0.2,0.8,0.78,1.1066666666666667,0.09528888888888888,0.04844720496894406,0.7866666666666666,0.30338241072147665,0.06404733422359768,"{0: 1.0869565217391304, 1: 1.1714285714285715}"
blood,Blood Transfusion,1464,LogReg,Mondrian,0.15,0.85,0.8866666666666667,1.5,0.25,0.001242236024844745,0.7866666666666666,0.30338241072147665,0.06404733422359768,"{0: 1.5043478260869565, 1: 1.4857142857142858}"
blood,Blood Transfusion,1464,LogReg,Mondrian,0.1,0.9,0.9266666666666666,1.6533333333333333,0.22648888888888882,0.016149068322981353,0.7866666666666666,0.30338241072147665,0.06404733422359768,"{0: 1.6434782608695653, 1: 1.6857142857142857}"
